Study	Link:	Publication Year:	Species:	Temperature:	Brain Location (In situ vs ex situ vs other):	Initial preservation:	General microscopy method:	Immunostaining primarily:	Visualization method specifics:	Brain Region:	Cell Type:	Time Point:	Structural Feature:	Additional outcome specifier, if any:	Decomposition outcome:	Pilot Round?	Pilot Grade:	Decomposition Grade - Grader 1:	Decomposition Grade - Grader 2:	Random choice for multiple grades from grader 2:	Decomposition Grade - Grader 3:	Consensus grade:
Itayoma 1980	https://pubmed.ncbi.nlm.nih.gov/6154439/	1980	Rat	5 hours at RT, then stored at 4°C	In Situ	Freezing	Light microscopy	Yes, immunostaining primarily	Immunostaining for myelin basic protein 	Multiple or no clear focus	Oligodendrocyte	20 hours	Myelin	Freezing-based preservation	"If freezing was delayed (Group 5), Vi- bratome sections contained intensely stained, rounded oligodendroglia with partially stained nuclei and few visible processes (Fig 3D). Myelin sheaths in these sections were only faintly stained, and the overall tissue preservation was worse" 	No	NA	3	2	2	NA	2
Itoyama 1980	https://pubmed.ncbi.nlm.nih.gov/6154439/	1980	Rat	5 hours at RT, then stored at 4°C	In Situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for myelin basic protein 	Multiple or no clear focus	Oligodendrocyte	20 hours	Myelin	Fixation-based preservation	"BP-stained oligodendroglia and myelin sheaths in sections of brains from 7-day-old rats in Group 2 closely resembled those observed in developing human cortex (compare Figs 3B and 1A). Overall tissue preservation was satisfactory even though some myelin sheaths were tortuous and vacuolated."	No	NA	1	0-1	1	NA	1
Jenkins 1979 	https://pubmed.ncbi.nlm.nih.gov/506695/	1979	Cat	37°C	In situ 	Perfusion fixation	Light microscopy	No	Morphologically stained with toulidine blue	Cerebral cortex	Multiple or no clear focus	5 minutes	Neuropil		"[T]he neuropil of the upper 3 layers of the cerebral cortex appeared vacuolated and distended." In 15 minute PMI group, similar finding: "Marked chromatin clumping was observed in all glia, while the neuropil of all brain regions appeared distended and enlarged."	No	NA	1	1	1	NA	1
Jenkins 1979 	https://pubmed.ncbi.nlm.nih.gov/506695/	1979	Cat	37°C	In situ 	Perfusion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	Multiple or no clear focus	Astrocyte	5 minutes	Astrocyte process	Earliest time point measured. 	"In contrast to slight cytoplasmic changes in neurons, astrocytes manifested an array of cytoplasmic alterations. Numerous astrocytic processes were enlarged and demonstrated an increased electron lucency of the cytosol. Additionally, the astrocytic granular (GER) and agranular (AER)  endoplasmic reticulum components were frequently dilated. However, like the neurons, oligodendrocytes displayed little cytoplasmic change." Also noted in 15 minute group - "Yet, the astrocytic processes and cell bodies were enlarged and marked dilation of the astrocytic AER and GER was observed." Also noted in 25 minute PMI group - "While the oligodendrocytes retained preservation of their cytoplasmic organelles, astrocytes displayed numerous cytoplasmic alterations. All astrocytes and their processes were enlarged. " 	No	NA	1	1-2	2	NA	2
Jenkins 1979 	https://pubmed.ncbi.nlm.nih.gov/506695/	1979	Cat	37°C	In situ 	Perfusion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	Multiple or no clear focus	Multiple or no clear focus	25 minutes	General cell membrane	Longest time point measured.	"The enlargement or swelling of neuronal somata and processes was minimal in the present investigation. The only evidence indicating such a change was a progressive decrease in the electron density of the neuronal cytoplasmic matrix with insults of increasing duration. This observation is in agreement with previous ultrastructural studies of CCI without post- ischemic recirculation (Garcia et al., 1975; Kalimo et al., 1977). However, relative to either neurons or oligodendrocytes a more dramatic enlargement of astrocytic cell bodies and processes was observed after 15 and 25min of CCI in this study." 	No	NA	0	1	1	NA	1
Karlsson 1966	https://doi.org/10.1016/S0022-5320(66)80034-5	1966	Rat	Not recorded	In situ	Perfusion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	Multiple or no clear focus	Multiple or no clear focus	0.25 hours	Extracellular space		"After 5 minutes of circulatory arrest, most of the tissue blocks observed still exhibited about the same amount of extracellular space as found in the control material. After 15, 30, and 60 minutes of perfusion delay, however, considerably more extracellular space was observed in almost all tissue blocks (Figs. 1 and 2). The results are summarized in Table I. In any block, however, locations of practically no extracellular space (Figs. 4 and 9) were mixed with those exhibiting small-scale extracellular space (up to a few hundred angstroms) and large-scale extracellular space (more than a few hundred angstroms)."	No	NA	1	1	1	NA	1
Karlsson 1966	https://doi.org/10.1016/S0022-5320(66)80034-5	1966	Rat	Not recorded	In situ	Perfusion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	Multiple or no clear focus	Multiple or no clear focus	1 hour	General cell membrane		"It has been shown that the triple-layered membrane structure persists up until at least 1 hour after exsanguination. This must reflect a fair stability of this structural representation of the membrane. The myelin sheath appears also to have similar resistance, as very few changes were observed in the experimental group. Most cellular organelles do, however, change in the brain tissue due to the fixation delay after circulatory arrest." ... "All membranous parts of the cells were found distinctly triple layered regardless of the duration of perfusion delay (Fig. 1). Occasional plasma membrane breaks were encountered."	No	NA	1	1	1	NA	1
Karlsson 1966	https://doi.org/10.1016/S0022-5320(66)80034-5	1966	Rat	Not recorded	In situ	Perfusion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	Multiple or no clear focus	Oligodendrocyte	1 hour	Myelin		"Except for infrequently occurring membrane separation defects in the myelin sheath after 60 minutes of perfusion delay, the myelin structure appeared quite resistant to the metabolic disturbances"	No	NA	1	0	0	NA	0
Karlsson 1966	https://doi.org/10.1016/S0022-5320(66)80034-5	1966	Rat	Not recorded	In situ	Perfusion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	Multiple or no clear focus	Neuron	1 hour	Synapse		"Little change was observed in membrane-associated synapse material" ... "With increasing time of perfusion delay, fewer and flattened oblong synaptic vesicles (Fig. 1) appeared in the experimental group of animals. Little change was observed in membrane-associated synapse material. Sometimes an increased synaptic plasma membrane separation was observed together with the increase in extracellular space, but also the reverse situation was encountered."	No	NA	1	0-1	1	NA	1
Koenig 1952	https://pubmed.ncbi.nlm.nih.gov/14898311/	1952	Guinea pig	Room temperature	In situ 	Perfusion fixation	Light microscopy	No	Nissl staining (thionin) 	Multiple or no clear focus	Neuron	0.5 hours	General cell membrane 		"It should be noted that in all the sections studied, except those of the 23 hours post mortem series there was a variable number of apparently unaltered cells which decreased in frequency as the time interval between death and fixation increased" ... "[M]oderate swelling of the cell" ... "There were already perceptible changes in the brain and spinal cord at this early stage as compared with control sections. These changes were limited to the cytoplasm of the nerve cells and consisted chiefly of a moderate swelling of the cell, a slight fragmentation of Nissl bodies, and a reduction of cytoplasmic basophilia."	No	NA	1	1	1	NA	1
Koenig 1952	https://pubmed.ncbi.nlm.nih.gov/14898311/	1952	Guinea pig	Room temperature	In situ 	Perfusion fixation	Light microscopy	No	Nissl staining (thionin) 	Multiple or no clear focus	Neuron	1 hour	General cell membrane 		"The changes here were qualitatively similar to those in the one-half hour brain and quantitatively more advanced. In some cells, the marginal cytoplasm was clear"	No	NA	1	1	1	NA	1
Koenig 1952	https://pubmed.ncbi.nlm.nih.gov/14898311/	1952	Guinea pig	Room temperature	In situ 	Perfusion fixation	Light microscopy	No	Nissl staining (thionin) 	Multiple or no clear focus	Neuron	2 hours	General cell membrane 		"The Nissl bodies were more fragmented than at the one hour stage and cytoplasmic basophilia was further diminished."	No	NA	1	1-2	2	NA	1
Koenig 1952	https://pubmed.ncbi.nlm.nih.gov/14898311/	1952	Guinea pig	Room temperature	In situ 	Perfusion fixation	Light microscopy	No	Nissl staining (thionin) 	Multiple or no clear focus	Neuron	3 hours	General cell membrane 		"The cells were markedly swollen" ... "Vacuoles were present in occasional cells of the red nucleus and the ventral horn of the spinal cord."	No	NA	1	1	1	NA	1
Koenig 1952	https://pubmed.ncbi.nlm.nih.gov/14898311/	1952	Guinea pig	Room temperature	In situ 	Perfusion fixation	Light microscopy	No	Nissl staining (thionin) 	Multiple or no clear focus	Neuron	4 hours	General cell membrane 		"The alterations were of about the same order of magnitude as in the three hour brain"	No	NA	1	1	1	NA	1
Koenig 1952	https://pubmed.ncbi.nlm.nih.gov/14898311/	1952	Guinea pig	Room temperature	In situ 	Perfusion fixation	Light microscopy	No	Nissl staining (thionin) 	Multiple or no clear focus	Neuron	7.5 hours	General cell membrane 		"The neurons were slightly more severely altered than in the three and four hours brains."	No	NA	1	2	2	NA	2
Koenig 1952	https://pubmed.ncbi.nlm.nih.gov/14898311/	1952	Guinea pig	Room temperature	In situ 	Perfusion fixation	Light microscopy	No	Nissl staining (thionin) 	Multiple or no clear focus	Neuron	10 hours	General cell membrane 		"The nerve cells in the red nucleus and the oculomotor nucleus were little changed from those in the seven and one-half hours brain"	No	NA	1	2	2	NA	2
Koenig 1952	https://pubmed.ncbi.nlm.nih.gov/14898311/	1952	Guinea pig	Room temperature	In situ 	Perfusion fixation	Light microscopy	No	Nissl staining (thionin) 	Frontal cortex	Pyramidal cell	10 hours	General cell membrane 		"[T]he pyramidal cells of the frontal cortex were in a very poor state of preservation. The cell and nuclear outlines were indistinct, and the cells appeared washed out. Cytoplasmic vacuoles were present in many cells"	No	NA	2	3	3	NA	3
Koenig 1952	https://pubmed.ncbi.nlm.nih.gov/14898311/	1952	Guinea pig	Room temperature	In situ 	Perfusion fixation	Light microscopy	No	Nissl staining (thionin) 	Multiple or no clear focus	Neuron	23.5 hours	General cell membrane 		"The nerve cells in all the groups studied, with but occasional exceptions, were extremely altered. Cell margins were fuzzy ... In many cells there was an amorphous granular lightly staining cytoplasm. Dendritic and axonal processes often stained a diffuse blue for considerable distances. Vacuoles were common."	No	NA	2	3	3	NA	3
Krinke 2001	https://pubmed.ncbi.nlm.nih.gov/11817106/	2001	Rat	Room temperature	Not recorded	Immersion fixation	Light microscopy	No	Morphologically stained with fluoro-jade B	Multiple or no clear focus	Neuron	16 hours	General cell membrane		"Fluoro-jade stain identified the necrotic neurons sensitively and selectively in the perfusion-fixed tissue (fig. 2). In the brain tissue fixed by immersion immediately after death, necrotic neurons emitted selective fluoro-jade fluorescence, but additionally to it the red blood cells were positive as well and, like in the HE stain, the presence of erythrocytes hampered the recognition of positive neurons (fig. 4). Following 4 hour autolysis, the fluoro-jade stain of necrotic neurons was still positive, but after 16 hour autolysis, neither the previously positive areas, nor any other brain areas emitted positive fluorescence, except the unspecific fluorescence of red blood cells"	No	NA	3	2	2	NA	2
Lavenex 2009	https://pubmed.ncbi.nlm.nih.gov/18972553/	2009	Rhesus monkey	4°C	In situ	Immersion fixation	Light microscopy	No	Nissl staining (thionin) 	Hippocampal formation	Neuron	48 hours	General cell membrane	Comparison of PMIs of up to 48 hours with 2 hours in immersion fixed tissue.	"[A]lthough our analyses did not show that soma size was further affected by increasing postmortem intervals... cell somas... could be more easily distinguished from each other particularly at longer postmortem intervals".	No	NA	1	0	0	NA	1
Lavenex 2009	https://pubmed.ncbi.nlm.nih.gov/18972553/	2009	Rhesus monkey	4°C	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for SMI-32 (Neurofilament H non-phosphorylated)	Hippocampal formation	Neuron	48 hours	General cell membrane	Comparison of PMIs of up to 48 hours with 2 hours in immersion fixed tissue.	"Analysis of SMI-32 immunoreactivity patterns in the hippocampal formation... no differences due to the varying postmortem intervals until immersion-fixation (i.e., patterns of staining in tissue immersion-fixed after 2 h resembled those in tissue immersion-fixed after 48 h)"	No	NA	0	0	0	NA	0
Lavenex 2009	https://pubmed.ncbi.nlm.nih.gov/18972553/	2009	Rhesus monkey	4°C	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for acetylcholinesterase	Hippocampal formation	Neuron	48 hours	General cell membrane	Comparison of PMIs of up to 48 hours with 2 hours in immersion fixed tissue.	"AChE distribution in the hippocampal formation appeared to be largely unaffected by postmortem interval or immersion-fixation (Figure 4A,B). There were, however, a few differences. First, the overall staining intensity appeared decreased throughout the brain. Although regional staining patterns remained unchanged, and the density of AChE-positive fibers did not seem to be affected, the staining intensity of individual fibers was weaker."	No	NA	1	1	1	NA	1
Lavenex 2009	https://pubmed.ncbi.nlm.nih.gov/18972553/	2009	Rhesus monkey	4°C	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for calretinin	Hippocampal formation	Neuron	48 hours	Dendrite	Comparison of PMIs of up to 48 hours with 2 hours in immersion fixed tissue. Calbindin has no degradation between 2 and 48 hours, but clearly significant between 0 hour perfusion fixed and 2 hour immersion fixed tissue, so unable to grade. 	"The varicose dendrites of the heavily stained neurons in the stratum pyramidale of CA1 were not as clearly defined in immersion-fixed tissue (Figure 8E, F), and the degree of degradation correlated with postmortem interval. Specifically, dendrite staining was coarser, appearing as a series of discontinuous clumps rather than a series of beads linked by a continuous fiber. This phenomenon was also observed in the molecular layer of the dentate gyrus and throughout the other hippocampal regions. The somas of the large multipolar cells located in the rostral polymorphic layer of the dentate gyrus were much less intensely stained in immersion-fixed tissue (Figure 8C, D), but as there was a high degree of inter-individual variability it was not possible to determine whether there was a correlation between postmortem interval and staining intensity. This was similarly the case for the calretinin-immunoreactive pyramidal neurons in layer V of areas Er and Ei. In contrast, the immunostaining of the small, round cell somas observed throughout the hippocampal formation did not appear to be affected by immersion-fixation or postmortem interval"	No	NA	2	2	2	NA	2
Lavenex 2009	https://pubmed.ncbi.nlm.nih.gov/18972553/	2009	Rhesus monkey	4°C	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for somatostatin	Hippocampal formation	Neuron	48 hours	Axon	Comparison of PMIs of up to 48 hours with 2 hours in immersion fixed tissue.	"Immunoreactive, grapelike clusters of apparently large, axonal varicosities were commonly observed in immersion-fixed monkey tissue (Figure 9D), as has been previously observed only in human tissue (Amaral et al., 1988). These grapelike clusters of large varicosities were observed in tissue immersion-fixed even after 24 or 48 hours postmortem, even though fiber clarity decreased with increased postmortem interval in other hippocampal regions, such as the outer molecular layer of the dentate gyrus."	No	NA	2	1	1	NA	1
Li 2012	https://pubmed.ncbi.nlm.nih.gov/22859703/	2012	Mouse	Room temperature	In Situ, following head dissection	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for different glutamate transporter proteins with different antibodies	Multiple or no clear focus	Astrocyte	12 hours	Astrocyte domain 		"[W]hen the sections were examined at higher magnification (Fig. 3), it was evident that the loss of labeling observed with the antibodies to the termini (anti-B12 and anti-B563) did not occur evenly in all cells. There was a patchy loss of labeling. At 12 hr (Fig. 3), some patches had unchanged labeling, some had increased labeling, and some were completely devoid of labeling. The staining pattern looked like a mosaic of tiles with different colors and with diameters at around 50 µm. This corresponds to the reported sizes of astrocyte domains in mice (Oberheim et al. 2009). (An astrocyte domain is the volume of tissue defined by the branches extending from one astrocyte. There is limited overlap between neighboring astrocyte domains" 	No	NA	3	1	1	3	3
Lindenberg 1956	https://pubmed.ncbi.nlm.nih.gov/13372749/	1956	Cat	37°C	Ex situ	Immersion fixation	Light microscopy	No 	Morphological staining with cresyl violet or thionine	Multiple or no clear focus	Neuron	0.5 hours	General cell membrane		"The first cellular change could be observed after about 30 minutes. The larger pyramidal cels showed a mild swelling of the cell body." ... "In cells of the small karyochrome type, a similar swelling could be found; occasionally, small vacuole-like transparencies had already developed in the protoplasm (Fig. 8)."	Yes	1	1	1	1	NA	1
Lindenberg 1956	https://pubmed.ncbi.nlm.nih.gov/13372749/	1956	Cat	37°C	Ex situ	Immersion fixation	Light microscopy	No 	Morphological staining with cresyl violet or thionine	Multiple or no clear focus	Neuron	6 hours	General cell membrane		"By the time the unfixed brain tissue had been in the incubator for 6 hours, considerable cellular changes had developed. They consisted of two types which, in many cells, were more or less combined. The first type was characterized by formation of "vacuoles," the content of which was not stainable. These vacuoles developed within the protoplasmic strands, enlarged, and eventually coalesced, destroying the original structure of the cell body." Also Figure 9/10. 	Yes	2	2	2	2	NA	2
Lindenberg 1956	https://pubmed.ncbi.nlm.nih.gov/13372749/	1956	Cat	37°C	Ex situ	Immersion fixation	Light microscopy	No 	Morphological staining with cresyl violet or thionine	Multiple or no clear focus	Neuron	12 hours	General cell membrane		"In tissues kept unfixed in the incubator for 12 hours, the changes were more pronounced" ... "Those cells which suffered mainly from vacuolization during the first 6 hours of anoxia still displayed a foamy appearance, but their outlines were usually no longer recognizable (Fig. 12)."	Yes	3	3	3	3	NA	3
Lindenberg 1956	https://pubmed.ncbi.nlm.nih.gov/13372749/	1956	Cat	37°C	Ex situ	Immersion fixation	Light microscopy	No 	Morphological staining with cresyl violet or thionine	Multiple or no clear focus	Neuron	48 hours	General cell membrane		"Beyond a period of 12 hours, the changes proceeded at a slower rate. After 48 hours, the typical picture of Spielmeyer’s ‘“ischemic”’ alteration of nerve cells had developed in most cells (Figs. 15 and 16). As a rule, the nuclei were shrunken, often triangular, and indistinct in outline. In some cells, however, the nucleus was either disintegrated or surprisingly well preserved. The protoplasm was homogeneous and pale, and showed signs of previous swelling or of various degrees of shrinkage. There was pyknosis or karyorrhexis of the accompanying glial nuclei. The cells which had developed extensive vacuolization were almost dissolved and only a small spot was found as the remainder of the nucleus."	Yes	3	3	3	3	NA	3
Lindenberg 1956	https://pubmed.ncbi.nlm.nih.gov/13372749/	1956	Cat	18°C	Ex situ	Immersion fixation	Light microscopy	No 	Morphological staining with cresyl violet or thionine	Multiple or no clear focus	Neuron	12 hours	General cell membrane	Storage at 18°C	"It was considerably retarded if the tissues were kept at 18° C. At that temperature the first signs of homogenization and vacuolization did not become noticeable until about 12 hours after death."	Yes	1	1	1	1	NA	1
Lindenberg 1956	https://pubmed.ncbi.nlm.nih.gov/13372749/	1956	Cat	37°C	Ex situ	Immersion fixation	Light microscopy	No 	Morphological staining with cresyl violet or thionine	Multiple or no clear focus	Neuron	18 hours	General cell membrane	Cats exposed to premortem hypoxia for at least 60 minutes prior to death	"The longer the premortal hypoxia lasted, the fewer were the changes in the nerve cells. After a premortal hypoxia of about 60 minutes, the cells fixed 30 minutes after death did not differ from their equivalent pictures shown in Figures 1 to 4. Even if kept unfixed in the incubator at 37° C. For 12 hours, they underwent no changes (Figs. 26 to 29). The presence of a few putrefactive bacteria had no influence on the cell structure (Fig. 27). In tissues kept unfixed in saline solution at 37° C. for 18 hours, the cells still showed no disintegration of their structure (Fig. 30). With increasing interval between death and fixation, however, there was a slow decrease in staining property. The general structure of the cells, however, and their nuclei remained essentially unchanged (Fig. 31). The accompanying glia showed no signs of pyknosis or karyorrhexis."	Yes	0	0	1	1	NA	1
Liu 1995	https://pubmed.ncbi.nlm.nih.gov/7550601/	1995	Human	4°C	Ex situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for synaptophysin	Frontal cortex	Neuron	36 hours	Synapse		"The synaptophysin immunoreactivity appeared as granules within the cortical neuropil and not within perikarya, apparently reflecting the distribution of synapses. In all cases the staining was present only in grey matter while the white matter underlying the cortical layers and the vascular and glial cells were unstained. The neuronal cytoplasm displayed a very light granular reaction which might represent the synaptophysin just synthesized in the cell. The granular staining pattern was abolished on con­trol sections in which the primary antibody was replaced lby nonimmune mouse serum. In all samples studied, we noted minimal if any background artifact. Increase in postmortem delay affected the staining intensity only at 48 and 72 h postmortem." ... "In the normal group, OD obtained 1, 8, 12, 24 and 36 h after death were essen­ tially the same (table 1). The slight decrease of the OD at these time points was statistically not significant. How­ ever, OD at 48 and 72 h postmortem decreased signifi­ cantly compared to the OD at 1, 8, 12,24 or 36 h postmor­ tem (table 1)"	No	NA	0	0	0	NA	0
Magnusson 1989 	https://pubmed.ncbi.nlm.nih.gov/2772839/	1989	Rat	4°C	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for taurine 	Hippocampus	Most classes of cells except dentate basket cells and certain interneurons	6 hours	General cell membrane		"Some of the rat brains which experienced a 6-hour delay to fixation demonstrated a loss of Tau2 staining in the DG and CA1 region." Also Table 1. 	No	NA	3	2	2	NA	2
Magnusson 1989 	https://pubmed.ncbi.nlm.nih.gov/2772839/	1989	Rat	4°C	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for taurine 	Dentate gyrus	Basket cells in the dentate and interneurons within stratum oriens, pyrami- dal cell layer, and molecular layer of CA1	24 hours	General cell membrane		"Interneurons within stratum oriens, pyramidal cell layer, and molecular layer of CA1 retained their immunostaining capacity for Tau2 after a 24-hour delay to fixation (Fig. 7C). Dentate basket cells were also stained in all three 24-hour-delay rats (Fig. 7D)"	No	NA	1	0-1	0	NA	1
Merino-Serraiss 2020	https://pubmed.ncbi.nlm.nih.gov/31945411/	2020	Mouse	Not recorded	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for calbindin	Hippocampus	Pyramidal cells	5 hours	General cell membrane		"No changes in the general pattern of distribution of CB immunostaining throughout the CA1 pyramidal cell layer were observed in either human or mouse brains with PT up to 5 h" ... "Furthermore, we observed a lower immunostaining intensity in cell bodies, neuronal processes and neuropil in immersion-fixed mouse tissue extracted after 2 h up to 5 h PT (Fig. 4F and J), as compared to tissue from perfused animals (Fig. 4D and H) or immersion-fixed mouse brain 0 h 0 min PT (Fig. 4E and I)."	No	NA	1	1	1	NA	1
Monroy-Gomez 2020 	https://pubmed.ncbi.nlm.nih.gov/32858805/	2020	Mouse 	Room temperature (approximxately 22 °C)	In situ	Immersion fixation	Light microscopy	No	Hematoxylin and eosin stain	Multiple or no clear focus	Multiple or no clear focus	6 hours	Blood vessels		"Effects of postmortem degradation were evident after hour six, where vascular dilatation in the tissue and the beginning of chromatin condensation were observed."	Yes	1	1	NA	NA	NA	1
Monroy-Gomez 2020 	https://pubmed.ncbi.nlm.nih.gov/32858805/	2020	Mouse 	Room temperature (approximxately 22 °C)	In situ	Immersion fixation	Light microscopy	No	Hematoxylin and eosin stain	Cerebellum	Multiple or no clear focus	12 hours	Neuropil		"At 12 h postmortem (C), the tissue degradation process is clear; granulation of the neuropil does not allow the observation of dendrites". Also Figure 1C. 	Yes	3	3	NA	NA	NA	3
Monroy-Gomez 2020 	https://pubmed.ncbi.nlm.nih.gov/32858805/	2020	Mouse 	Room temperature (approximxately 22 °C)	In situ	Immersion fixation	Light microscopy	No	Hematoxylin and eosin stain	Cerebellum	Purkinje cell	12 hours	Purkinje cell membrane		"At 12 h postmortem (C) ... Dissolution of cytoplasm and neuronal nucleus in some Purkinje cells is also noted. Well-preserved Purkinje cells can be seen in the box, one of them with an eosinophilic inclusion in the cytoplasm (arrowhead)." Also Figure 1C. 	Yes	1	1	NA	NA	NA	1
Monroy-Gomez 2020 	https://pubmed.ncbi.nlm.nih.gov/32858805/	2020	Mouse 	Room temperature (approximxately 22 °C)	In situ	Immersion fixation	Light microscopy	No	Hematoxylin and eosin stain	Cerebellum	Purkinje cell	30 hours	General cell membrane		"Tissue with 30 h of postmortem degradation. Notice the loss of integrity and the autolysis in Purkinje cells with an absence of eosinophilic inclusions". Also Figure 1D. 	Yes	3	3	NA	NA	NA	3
Monroy-Gomez 2020 	https://pubmed.ncbi.nlm.nih.gov/32858805/	2020	Mouse 	Room temperature (approximxately 22 °C)	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for rabies antigen	Multiple or no clear focus	Pyramidal neuron and Purkinje cell	30 hours	General cell membrane		"Cortical pyramidal neurons at 30 h postmortem. There is a loss of neurons in some areas due to degradation, but in others, the intense immunoreactivity of the soma and of the apical dendrite is preserved". Also Figure 2D; "At 30 h postmortem (D), the tissue presents degradation, but immunoreactivity is preserved in the soma". Also Figure 3D. 	Yes	3	3	NA	NA	NA	3
Monroy-Gomez 2020 	https://pubmed.ncbi.nlm.nih.gov/32858805/	2020	Mouse 	Room temperature (approximxately 22 °C)	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for rabies antigen	Cerebellum	Purkinje cell	6 hours	General cell membrane		"Cerebellum with 6 h of postmortem degradation, where several viral inclusions (arrowheads) and morphology delimitation of the Purkinje cells are observed (arrow)". Also Figure 2B. 	Yes	0	0	NA	NA	NA	0
Monroy-Gomez 2020 	https://pubmed.ncbi.nlm.nih.gov/32858805/	2020	Mouse 	Room temperature (approximxately 22 °C)	In situ	Immersion fixation	Light microscopy	No	Morphological staining with toluidine blue 	Cerebral cortex	Multiple or no clear focus	6 hours	Neuropil		"Effects of tissue degradation were evident at 6 h postmortem when the beginning of autolysis, chromatin condensation, nucleus retraction, and granulation of the neuropil were observed (Figure 4B). These histological changes were more accentuated with a greater postmortem time". Also Figure 4B. 	Yes	1	1	NA	NA	NA	1
Monroy-Gomez 2020 	https://pubmed.ncbi.nlm.nih.gov/32858805/	2020	Mouse 	Room temperature (approximxately 22 °C)	In situ	Immersion fixation	Light microscopy	No	Morphological staining with toluidine blue 	Cerebral cortex	Neuron	30 hours	General cell membrane	Morphological staining	"Tissue fixed at 30 h postmortem where the granular neuropil (np) dominates, loss of neuronal morphology by autolysis and nuclei retraction.". Also Figure 4C. 	Yes	3	3	NA	NA	NA	3
Monroy-Gomez 2020 	https://pubmed.ncbi.nlm.nih.gov/32858805/	2020	Mouse 	Room temperature (approximxately 22 °C)	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for rabies antigen	Cerebral cortex	Neuron	30 hours	General cell membrane	Immunostaining	"Sample of material fixed at 30 h postmortem processed for pre-embedding immunomicroscopy in Durcupan. The viral antigens immunoreactivity delimits the profile of the soma in infected neurons despite the autolysis." Also Figure 4D. 	Yes	2	2	NA	NA	NA	2
Monroy-Gomez 2020 	https://pubmed.ncbi.nlm.nih.gov/32858805/	2020	Mouse 	Room temperature (approximxately 22 °C)	In situ	Immersion fixation	Electron microscopy	No	Morphological staining with osmium tetroxide	Cerebral cortex	Neuron	30 hours	General cell membrane	Electron microscopy	"D) Ultrastructural images of nervous tissue processed at 30 h postmortem. (C) Neuropil (np) degradation is noteworthy, as well as that of a neuron presenting nucleus retraction (n) and autolysis." Also Figure 5. 	Yes	2	2	NA	NA	NA	2
Monroy-Gomez 2020 	https://pubmed.ncbi.nlm.nih.gov/32858805/	2020	Mouse 	Room temperature (approximxately 22 °C)	In situ	Immersion fixation	Electron microscopy	Yes, immunostaining primarily	Immune electron microscopy for rabies antigen	Not recorded	Neuron	30 hours	General cell membrane	Immuno-electron microscopy	"With the immune electron microscopy, it became evident the viral antigens distribution on the neuronal cytoplasm until 30 h postmortem, which was revealed by the reaction between the diaminobenzidine and the osmium tetroxide (Figure 6)". Also Figure 6. 	Yes	2	2	NA	NA	NA	2
Mori 1991	https://pubmed.ncbi.nlm.nih.gov/2002653/	1991	Rat	4°C	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining with anti-rat IgG and anti-rat albumin	Cortex	Multiple or no clear focus	48 hours	Blood vessels		"Upon fixation 48 hours after death, intense and diffuse background was observed in the entire sections, and no blood vessels could be seen. Most labeled neurons scattered in the cortices were more intensely stained than background, and contrasted with unlabeled cells which appeared blank (Fig. 6)."	No	NA	3	3	3	NA	3
