Study	Link	Species	General microscopy method	Visualization method specifics	PMI range	Longest PMI reported	Sample size	Brain region	Disease studied, if any recorded	Structural Feature	Outcome	Relevant text	Any significant/substantial correlation of a feature with PMI reported? 
Sweet 2004	https://pubmed.ncbi.nlm.nih.gov/15184031	Human	Light microscopy	Stained for Nissl substance with thionin	3.7 to 28.1 hours	28.1 hours	32	Primary auditory cortex	Schizophrenia	Neuronal morphology	No significant correlation between PMI and pyramidal soma volume.	"In the secondary model, the effect of diagnosis on ln(somal volume) was similar [...], without a significant effect due to subject age [...], gender [...], or PMI [...]"	No
Szocsics 2021	https://pubmed.ncbi.nlm.nih.gov/33355694/	Human	Light microscopy	Immunostaining for NeuN and parvalbumin and fluorescence microscopy	2 h 55 min to 5 h 5 min	5.083 hours	7	Primary motor cortex	"Control"	General neuronal morphology	No correlation between PMI and the soma size or density of Betz cells. 	"Statistical analyses of soma size and density of Betz cells. Multiple regression analyses did not show significant changes by post-mortem interval (PMI)."	No
Tang 2001	https://pubmed.ncbi.nlm.nih.gov/11418939/	Human	Electron microscopy	Ethanolic phosphotungstic acid staining technique, modified for synapses in human autopsy brains.	Less then 60 hours	60 hours	5	Neocortex	No known neurological or psychiatric disorder	Synapse	When compared to expected electron microscopy findings, postmortem tissue up to 2.5 days is reported to have poor preservation, with debris, membrane fragments, and other problems, although they report it is still possible to count the number of synapses. 	"The sIR was preserved for more than 96 hours postmortem, even in severely autolytic brains." ... "In cases of 24 to 48 hours of postmortem autolysis before fixation of the brain, the gray matter tissue showed only a mild diffuse loss of sIR, but the sharp definition in axons and around neurons was lost. The sIR remained reliable for routine autopsy examinations up to 72 hours between death and fixation of tissue, but sIR was lost in highly macerated brains with several days of autolysis." Also Figure 6. 	Yes
Todtenkopf 1998	https://pubmed.ncbi.nlm.nih.gov/9661250/	Human	Light microscopy	Nissl staining, immunohistochemistry	6.5 to 42.5 hours	42.5 hours	25	Hippocampus	Schizophrenia	General neuronal immunostaining	No significant correlation in the density of GAD65-IR puncta on pyramidal neurons or non-pyramidal neurons with the PMI. 	"Visual inspection of Nissl-stained sections indicated that there was good preservation of cellular and cytoarchitectonic detail following immunocytochemical processing" ... "As with age, there were no significant correlations of PMI with the density of GAD65-IR puncta on either PNs (r = 0.349, r = 0.138, r = 0.004, and r = 0.224, respectively) or NPs (r = 0.247, r = 0.145, r = 0.034, and r = 0.194, respectively). Similarly, when the regression analysis was performed separately for the two groups, no significant correlations were found".  Figure 1 for representative images.	No
Tóth 2007	https://pubmed.ncbi.nlm.nih.gov/17097238/	Human	Light microscopy	Substance P receptor immunostaining	2 to >6 hours	6 hours	12	Hippocampus	Epilepsy	General neuronal immunostaining	No correlation between PMI and cell morphology, but decline in substance P receptor immunostaining after 6 hours of PMI, with fewer immunoreactive cells.	"In a preliminary experiment we examined 12 control brains with different post mortem delays and age in both genders. Although the general distribution and morphology of the cells was similar in each case, the long post mortem delay influenced the quality and quantity of immunostaining. The smallest number of cells was found in immersion fixed subjects with post mortem delays longer than 6 hours, therefore these control subjects were excluded from the present study"	Yes
Tóth 2010	https://pubmed.ncbi.nlm.nih.gov/20576695/	Human	Light microscopy	Immunostaining for calretinin	2 to 10 hours	10 hours	6	Hippocampus	"Control samples"	General neuronal immunostaining	Lower density of calretinin-immunoreactive cells in samples with long postmortem delay. Also shorter, varicose, and degenerating dendrites of calretinin-immunoreactive cells in samples with long postmortem delay. 	"Significantly fewer calretinin-positive cells are present in every subregion in control samples with long post-mortem delay compared to controls with short post-mortem delay" ... "Our results suggest that these inhibitory cells in humans are also sensitive to ischaemic conditions and long post-mortem delay before fixation"	Yes
Uranova 2011	https://pubmed.ncbi.nlm.nih.gov/22937264/	Human	Electron microscopy	Osmium and uranyl acetate staining	Average of 5.9 ± 1.2 hours in control samples and 6.3 ± 1.8 hours in samples from people with schizophrenia	Not recorded	80	Prefrontal cortex	Schizophrenia	Myelin	No correlation between PMI and myelin morphometry.	"We did not find the effects of postmortem delay and neuroleptic exposure on the parameters of myelinated fibers." ... "We did not find the effects of postmortem delay and neuroleptic exposure on the frequency of myelinated fibers."	No
Vikhreva 2016	https://pubmed.ncbi.nlm.nih.gov/27156647/	Human	Electron microscopy	Staining with osmium tetroxide, uranyl acetate, and lead citrate	4.5 to 13 hours	13 hours	41	Prefrontal white matter	Schizophrenia 	Oligodendrocyte size	No correlation of PMI with oligodendrocyte size. 	"Correlation analysis showed no effects of age, postmortem interval, neuroleptic treatment and duration of disease on the oligodendrocyte parameters measured (all p > 0.2)."	No
Wegner 2006	https://pubmed.ncbi.nlm.nih.gov/17000961/	Human	Light microscopy	Nissl staining	16 to 96 hours	96 hours	18	Cortex	Multiple sclerosis	Neuronal morphology	No correlation between PMI and neuronal density, neuronal morphology, or glial density. 	"Postmortem interval, formalin time, and age had no apparent effects on neuronal density, size, shape, or glial density."	No
Whitney 2008	https://pubmed.ncbi.nlm.nih.gov/17961663/	Human	Light microscopy	Morphological staining with Nissl and immunohistochemical staining for calbindin-D28k	3 to 48 hours (3 unknown) 	48 hours	10	Cerebellum	Autism	Purkinje cell counting	No significant difference between PMI of cases with good and poor Nissl staining quality of Purkinje cells. Good reported calbindin staining of Purkinje cells in all cases despite a varying PMI. 		No
Williams 1978	https://pubmed.ncbi.nlm.nih.gov/73572/	Human	Light microscopy	Morphological stain, Golgi rapid preparation 	30 minutes to 36 hours, and 2 biopsy specimens	36 hours	33	Cerebral cortex	"Normative human specimens" 	General neuronal morphology	Increase in autolytic changes during the PMI, with lower quality rapid Golgi preparations after more than 6 hours postmortem, and worse quality of autopsy specimens compared to biopsy specimens. 	"Golgi preparations from the 2 biopsy specimens of human neocortex were judged to be of excellent quality by all criteria. All the principal neuronal subclasses present normally in the various laminae of the cortex were well represented. A few scattered varicosities were present on the terminal portions of dendrites of some pyramidal cells. Autolytic changes observed in Golgi-rapid impregnations of the 29 autopsy cases after delays in fixation of 30 minutes to 36 hours after death are identical qualitatively to those observed in the cortex of mice after delayed fixation. These include variable completeness and selectivity of cellular impregnation, centripetally progressive dendritic deformities, changes in the hue of the background tissues from amber to yellow, and the appearance of granular precipitate in unimpregnated neurons."	Yes
Wu 2021	https://pubmed.ncbi.nlm.nih.gov/33497495/	Human	Light microscopy	Immunostaining for cocaine and amphetamine- regulated transcript (CART) and calbindin	14.1 ± 9.1 hours (for the control group, which is the only one with an observation reported) 	Not recorded	15	Cerebellum	"Control"	General neuronal morphology	No correlation between the number of Purkinje cell somas or dendrites that a climbing fiber crosses with the PMI. 	"In control cases, the number of PC somas or PC dendrites that a CF crossed did not correlate with PMI (P = 0.149 and 0.504, respectively), indicating that PMI is not a significant confounding factor."	No
Yoshida 2011	https://pubmed.ncbi.nlm.nih.gov/19760428/	Human	Light microscopy	Chromoganin A (CgA) immunostaining	0 to 3 days	72 hours	298	Hypothalamus	Multiple	General neuronal immunostaining	No correlation between PMI and immunostaining distribution for Chromoganin A. 	"CgA was clearly detected in specific cell components: neurons in the hypothalamus (Fig. 3a), endocrine cells in the adenohypophysis (Fig. 3b), and chromaffin cells in the adrenal medulla (Fig. 3c). Cellular CgA immunopositivity in each tissue varied extensively among cases for each cause of death, without any relationship to the postmortem period, or age or gender of subjects." - Figure 3a as an example.	No
